Key,Smiles,Exp_HOMO,Exp_LUMO,Calc_HOMO,Calc_LUMO,,,,,,,,
13,COC(C=C1)=CC=C1C2=C3C(C=C(SC(C)=C4)C4=C3)=C(C#CC5=CC=CC=C5)C6=CC7=C(SC(C)=C7)C=C62,-0.184851714380214,-0.101429568924332,-0.174327877521775,-0.084837882677651,,,,,-5.03,-2.76,-4.74363587524502,-2.30852362554156
14,COC(C=C1)=CC=C1C2=C3C(C=C(SC(C)=C4)C4=C3)=C(C#CC5=CC=CC=C5)C6=CC=CC=C62,-0.192569181580978,-0.0995920767336739,-0.18267643300618,-0.082425509534928,,,,,-5.24,-2.71,-4.97080841853117,-2.24288053995492
15,COC(C=C1)=CC=C1C2=C3C(C=C(C=CC=C4)C4=C3)=C(C5=CC=C(OC)C=C5)C6=CC7=C(C=CC=C7)C=C62,-0.183014222189556,-0.108779537686965,-0.171062842232921,-0.0950349123516225,,,,,-4.98,-2.96,-4.654791,-2.585995
17,COC(C=C1)=CC=C1C2=C3C(C=C(C=CC=C4)C4=C3)=C(C#CC5=CC=CC=C5)C6=CC=CC=C62,-0.192201683142847,-0.10767704237257,-0.181655531262417,-0.0932678702162774,,,,,-5.23,-2.93,-4.94302866118162,-2.53791201645512
18,COC(C=C1)=CC=C1C2=C3C(C=C4C(SC(C)=C4)=C3)=C(C#CC5=CC=CC=C5)C6=CC(C=CC=C7)=C7C=C62,-0.185219212818346,-0.108779537686965,-0.173624219841517,-0.0943533520149026,,,,,-5.04,-2.96,-4.72448864610751,-2.56744906167751
19,COC(C=C1)=CC=C1C#CC2=C3C=C4C(C=CC=C4)=CC3=C(C#CC5=CC=C(OC)C=C5)C6=CC7=C(C=CC=C7)C=C26,-0.183381720627687,-0.121641983021572,-0.171778739230742,-0.104152008037812,,,,,-4.99,-3.31,-4.67427127320773,-2.83408029071691
20,COC(C=C1)=CC=C1C2=C3C(C=C4C(C=CC=C4)=C3)=C(C#CC5=CC=CC=C5)C6=CC(C=CC=C7)=C7C=C62,-0.184851714380214,-0.115762008011466,-0.173872476586185,-0.101611521768401,,,,,-5.03,-3.15,-4.73124396038669,-2.76495111883997
21,COC(C=C1)=CC=C1C#CC2=C3C=CC=CC3=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC=C25,-0.194774172209768,-0.102899562676859,-0.189554154671726,-0.0852832704143055,,,,,-5.3,-2.8,-5.15795810277234,-2.32064307124367
22,COC(C=C1)=CC=C1C2=C3C(C=C4C(C=CC=C4)=C3)=C(C#CC5=CC=CC=C5)C6=CC(C=CC=C7)=C7C=C62,-0.184851714380214,-0.115762008011466,-0.173811230887474,-0.102542912522211,,,,,-5.03,-3.15,-4.72957740367904,-2.79029519264189
23,COC(C=C1)=CC=C1C#CC2=C3C=C4C(C=C(C)S4)=CC3=C(C#CC5=CC=C(OC)C=C5)C6=CC=CC=C26,-0.189996692514057,-0.107309543934438,-0.175126012083166,-0.0896461822594936,,,,,-5.17,-2.92,-4.76535391479502,-2.43936226546308
24,COC(C=C1)=CC=C1C#CC2=C3C=C4C(C=CC=C4)=CC3=C(C#CC5=CC=C(OC)C=C5)C6=CC=CC=C26,-0.189996692514057,-0.113924515820808,-0.179561101160926,-0.0968077576289168,,,,,-5.17,-3.1,-4.88603712368997,-2.63423589284045
25,COC(C=C1)=CC=C1C#CC2=C3C=C4C(C=C(C)S4)=CC3=C(C#CC5=CC=C(OC)C=C5)C6=CC7=C(C=C(C)S7)C=C26,-0.183381720627687,-0.109514534563228,-0.171845644039075,-0.0890989343594717,,,,,-4.99,-2.98,-4.67609181994727,-2.42447110285558
26,COC(C=C1)=CC=C1C#CC2=C3C=C4C(C=C(C)S4)=CC3=C(C#CC5=CC=C(OC)C=C5)C6=CC7=C(C=CC=C7)C=C26,-0.183381720627687,-0.115394509573334,-0.169163749281715,-0.0984853775733205,,,,,-4.99,-3.14,-4.60311478170475,-2.67988560914762
27,COC1=C(C=C2C3=CC=C(/C=C(C(O)=O)\C#N)S3)C4=C(C2=CC=C5)C5=C(OC)C6=CC(C7=CC=C(/C=C(C(O)=O)\C#N)S7)=C(C=CC=C81)C8=C64,-0.194406673771636,-0.106942045496307,-0.202422873795337,-0.116109971151727,,,,,-5.29,-2.91,-5.50812881884492,-3.15946842500964
